movie,chapter,character,dialog,part,dialog_len
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Don't say yes in that ungrateful way. Damn good of my brother to keep you. He'd have been straight to an orphanage if he'd been dumped on my doorstep. Is that my Dudders? Is that my little neffy-pooh? Give us a kiss! Come on! Up, up!",3,46
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Finish that off for Mommy. Good boy, Rippy-pooh.",3,8
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,"Can I tempt you, Marge?",3,5
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Just a small one. Excellent nosh, Petunia. A bit more. Usually just a fry-up for me, what with 12 dogs. Just a bit more. That's a boy! Mm! You wanna try a little drop of brandy? A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh? What are you smirking at? Where did you send the boy, Vernon?",3,56
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,St. Brutus'. It's a fine institution for hopeless cases.,3,9
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Do they use a cane at St. Brutus', boy?",3,9
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,"Oh, yeah. Yeah. I've been beaten loads of times.",3,9
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Excellent. I won't have this namby-pamby... wishy-washy nonsense about not beating people who deserve it. You mustn't blame yourself about how this one turned out. It's all to do with blood. Bad blood will out. What is it the boy's father did, Petunia?",3,43
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Petunia Dursley,Nothing. He didn't work. He was unemployed.,3,7
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"And a drunk too, no doubt?",3,6
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,My dad wasn't a drunk!,3,5
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Oh, don't worry Don't fuss, Petunia. I have a very firm grip.",3,12
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,I think it's time you went to bed.,3,8
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Quiet, Vernon. You, clean it up. Actually, it's nothing to do with the father. It's all to do with the mother. You see it all the time with dogs. If there's something wrong with the bitch, then there's something wrong with the pup.",3,43
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Marge Dursley,"Mm. Right! Let me tell you... y-y-- Vernon! Vernon! Vernon, do something!",3,12
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,"Ow! Ripper! Ow! Ripper, get down, boy! Down! Ripper, stop it! Stop! I've got you, Marge! I've got you! Hold on, hold on! Get off!",3,25
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,"Oh, God! Marge! Please! Marge! Come back! You bring her back! You bring her back now and you put her right!",3,21
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,No! She deserved what she got! Keep away from me.,3,10
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,You're not allowed to do magic outside school.,3,8
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Vernon Dursley,They won't let you back now. You've nowhere to go.,3,10
Harry Potter and the Prisoner of Azkaban,Aunt Marge's Big Mistake,Harry Potter,I don't care. Anywhere's better than here.,3,7
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,I didn't do it on purpose.,3,6
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,The Leaky Cauldron. That's in London.,3,6
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,But the Muggles. Can't they see us?,3,7
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Who is that? That man.,3,5
Harry Potter and the Prisoner of Azkaban,The Knight Bus,Harry Potter,Yeah. Him I've heard of.,3,5
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Cornelius Fudge,": Right smart bird you got there, Mr. Potter. He arrived here just five minutes before yourself.",3,17
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Cornelius Fudge,"As Minister for Magic, it is my duty to inform you, Mr. Potter... that earlier this evening your uncle's sister was located... a little south of Sheffield, circling a chimney stack. The Accidental Magic Reversal Department was dispatched immediately. She has been properly punctured and her memory modified. She will have no recollection of the incident whatsoever. So that's that... and no harm done.",3,64
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Harry Potter,I broke the law. Underage wizards can't use magic at home.,3,11
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Cornelius Fudge,"Come now, Harry the Ministry doesn't send people to Azkaban... for blowing up their aunts. On the other hand, running away like that, given the state of things... was very, very irresponsible.",3,32
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Harry Potter,"The state of things, sir?",3,5
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Cornelius Fudge,We have a killer on the loose.,3,7
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Harry Potter,"Sirius Black, you mean? But what's he got to do with me?",3,12
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Cornelius Fudge,"Nothing, of course. You're safe. And that's what matters. And tomorrow you'll be on your way back to Hogwarts. These are your new schoolbooks. I took the liberty... of having them brought here. Now Tom will show you to your room.",3,41
Harry Potter and the Prisoner of Azkaban,The Leaky Cauldron,Cornelius Fudge,"Oh, by the way, Harry. Whilst you're here, it would be best if you didn't... wander.",3,16
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Ron Weasley,"I'm warning you, Hermione. Keep that bloody beast of yours away from Scabbers, or I'll turn it into a tea cozy.",3,21
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Hermione Granger,"It's a cat, Ronald. What do you expect? It's in his nature.",3,12
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Ron Weasley,A cat? Is that what they told you? Looks more like a pig with hair.,3,15
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Hermione Granger,"That's rich... coming from the owner of that smelly old shoe brush. Crookshanks, just ignore the mean little boy.",3,19
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Ron Weasley,"Brilliant. Loads of old stuff... like mummies, tombs, even Scabbers enjoyed himself.",3,12
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Hermione Granger,You know the Egyptians used to worship cats?,3,8
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Ron Weasley,Along with the dung beetle.,3,5
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Fred Weasley,Not flashing that clipping again are you Ron?,3,8
Harry Potter and the Prisoner of Azkaban,In Grave Danger,George Weasley,Not flashing that clipping again are you Ron?,3,8
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Fred Weasley,"': No, not a soul. Not unless you count Tom. The day maid. The night maid. The Cook. The bloke who fixed the toilet. And that wizard from Belgium.",3,29
Harry Potter and the Prisoner of Azkaban,In Grave Danger,George Weasley,"': No, not a soul. Not unless you count Tom. The day maid. The night maid. The Cook. The bloke who fixed the toilet. And that wizard from Belgium.",3,29
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Molly Weasley,"Good to see you, dear.",3,5
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Molly Weasley,You got everything you need?,3,5
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Molly Weasley,Yes? All of your books?,3,5
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Arthur Weasley,"Harry, wonder if I might have a word?",3,8
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Arthur Weasley,Looking forward to a new term?,3,6
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Harry Potter,Yeah. It should be great.,3,5
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Arthur Weasley,"Harry, some within the Ministry would strongly discourage me... from divulging what I'm about to reveal to you. But I think that you need to know the facts. You are in danger. Grave danger.",3,34
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Harry Potter,"Has this anything to do with Sirius Black, sir?",3,9
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Arthur Weasley,"What do you know about Sirius Black, Harry?",3,8
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Harry Potter,Only that he's escaped from Azkaban.,3,6
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Arthur Weasley,"Do you know why? Thirteen years ago, when you stopped...",3,10
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Arthur Weasley,"When you stopped You-Know-Who... Black lost everything. But to this day, he still remains a faithful servant. And in his mind... you are the only thing that stands in the way... of You-Know-Who returning to power. And that is why... he has escaped from Azkaban. To find you.",3,48
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Arthur Weasley,"Harry, swear to me that whatever you might hear... you won't go looking for Black.",3,15
Harry Potter and the Prisoner of Azkaban,In Grave Danger,Harry Potter,Mr. Weasley... why would I go looking for someone who wants to kill me?,3,14
Harry Potter and the Prisoner of Azkaban,The Dementor,Molly Weasley,"Quick. Quick. Ron, Ron! Oh, for goodness' sake! Don't lose him!",3,11
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,I didn't mean to blow her up. I just... I lost control.,3,12
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,"Honestly, Ron, it's not funny. Harry was lucky not to be expelled.",3,12
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,I think I was lucky not to be arrested actually.,3,10
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,I still think it was brilliant.,3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,Come on. Everywhere else is full.,3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,Who do you think that is?,3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,Do you know everything? How is it she knows everything?,3,10
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,"It's on his suitcase, Ronald.",3,5
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,Do you think he's really asleep?,3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,I gotta tell you something.,3,5
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,Let me get this straight. Sirius Black has escaped from Azkaban to come after you?,3,15
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,"But they'll catch Black, won't they? I mean, everyone's looking for him.",3,12
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,"Sure. Except no one's ever broken out of Azkaban before... and he's a murderous, raving lunatic.",3,16
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,Why are we stopping? We can't be there yet.,3,9
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,I don't know. Maybe we've broken down.,3,7
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,"Ouch, Ron. That was my foot.",3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,There's something moving out there. I think... someone's coming aboard.,3,10
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,"Harry. Harry, are you all right?",3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Remus Lupin,"Here, eat this. It'll help. It's all right. It's chocolate.",3,10
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,What was that thing that came?,3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Remus Lupin,"It was a dementor. One of the guards of Azkaban. It's gone now. It was searching the train for Sirius Black. If you'll excuse me, I need to have a little word with the driver. Eat. You'll feel better.",3,39
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,"Well, you sort of went rigid. We thought maybe you were having a fit or something.",3,16
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,And did either of you two... you know... pass out?,3,10
Harry Potter and the Prisoner of Azkaban,The Dementor,Ron Weasley,"No. I felt weird, though. Like I'd never be cheerful again.",3,11
Harry Potter and the Prisoner of Azkaban,The Dementor,Harry Potter,But someone was screaming. A woman.,3,6
Harry Potter and the Prisoner of Azkaban,The Dementor,Hermione Granger,"No one was screaming, Harry.",3,5
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Albus Dumbledore,"Welcome! Welcome to another year at Hogwarts! Now, I'd like to say a few words... before we all become too befuddled by our excellent feast. First, I'm pleased to welcome Professor R.J. Lupin... who's kindly consented to fill the post... of Defense Against the Dark Arts teacher. Good luck, Professor.",3,50
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Hermione Granger,"Of course. That's why he knew to give you the chocolate, Harry.",3,12
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Draco Malfoy,"Potter. Is it true you fainted? I mean, you actually fainted?",3,11
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Harry Potter,How did he find out?,3,5
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Albus Dumbledore,"Our Care of Magical Creatures teacher... has decided to retire... in order to spend more time with his remaining limbs. Fortunately, I'm delighted to announce... that his place will be taken by none other... than our own Rubeus Hagrid. Finally, on a more disquieting note... at the request of the Ministry of Magic... Hogwarts will, until further notice, play host to the dementors of Azkaban... until such a time as Sirius Black is captured. The dementors will be stationed at every entrance to the grounds. Now whilst I've been assured... that their presence will not disrupt our day-to-day activities... a word of caution. Dementors are vicious creatures. They'll not distinguish... between the one they hunt and the one who gets in their way. Therefore, I must warn each and every one of you... to give them no reason to harm you. It is not in the nature of a dementor to be forgiving. But you know, happiness can be found... even in the darkest of times... if one only remembers to turn on the light.",3,175
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Seamus Finnigan,"Fortuna Major. Here, listen. She just won't let me in. Fortuna Major.",3,12
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Harry Potter,"She's still doing that after three years. She can't even sing. Exactly. Hey, man. Hey, man. Oh, God. That's awful.",3,20
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Seamus Finnigan,"She's still doing that after three years. She can't even sing. Exactly. Hey, man. Hey, man. Oh, God. That's awful.",3,20
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Ron Weasley,". Green. That's a monkey. What is that? You call that a monkey? Do not give him one again. Hey, Neville, try an elephant.",3,24
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Seamus Finnigan,I think we have a winner.,3,6
Harry Potter and the Prisoner of Azkaban,Welcome and Warning,Ron Weasley,"Oh, don't try one of them. Oh, no. Look at him. His face.",3,13
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Sybill Trelawney,"Welcome, my children. In this room, you shall explore the noble art of Divination. In this room, you shall discover if you possess the Sight. Hello. I am Professor Trelawney. Together we shall cast ourselves into the future. This term, we'll focus on Tasseomancy, the art of reading tea leaves. So please, take the cup of the person sitting opposite you. What do you see? The truth lies buried like a sentence deep within a book, waiting to be read. But first, you must broaden your minds. First, you must look beyond.",3,92
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Hermione Granger,What a load of rubbish.,3,5
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Ron Weasley,Where did you come from?,3,5
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Hermione Granger,Me? I've been here all this time.,3,7
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Sybill Trelawney,"You, boy... Is your grandmother quite well?",3,7
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Sybill Trelawney,"I wouldn't be so sure of that. Give me the cup. Pity. Broaden your minds. Your aura is pulsing, dear. Are you in the beyond? I think you are.",3,29
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Sybill Trelawney,Look at the cup. Tell me what you see.,3,9
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Ron Weasley,"Oh, yeah. Um... Well, Harry's got sort of a wonky cross. That's trials and suffering. And that there could be the sun and that's happiness. So... you're gonna suffer, but you're gonna be... happy about it.",3,36
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Sybill Trelawney,"Give me the cup. Oh, my dear boy. My dear... you have the Grim.",3,14
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Ron Weasley,You don't think that Grim thing's got anything to do with Sirius Black?,3,13
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Hermione Granger,"Oh, honestly, Ron. If you ask me, Divination's a woolly discipline. Now, Ancient Runes, that's a fascinating subject.",3,18
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Ron Weasley,Ancient Runes? Exactly how many classes are you taking?,3,9
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Ron Weasley,Hang on. That's not possible. Ancient Runes is in the same time as Divination. You have to be in two classes at once.,3,23
Harry Potter and the Prisoner of Azkaban,Tea Leaves,Hermione Granger,Don't be silly Ron. How could anyone be in two classes at once? Broaden your minds. Use your Inner Eye to see the future!.,3,24
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,"That's it. Come on, now. Come closer. Less talking, if you don't mind. I got a real treat for you today. A great lesson. So follow me. Right, you lot. Less chattering. Form a group over there. And open your books to page 49.",3,44
Harry Potter and the Prisoner of Azkaban,Buckbeak,Draco Malfoy,Exactly how do we do that?,3,6
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,"Just stroke the spine, of course. Goodness me.",3,8
Harry Potter and the Prisoner of Azkaban,Buckbeak,Draco Malfoy,"Don't be such a wimp, Longbottom.",3,6
Harry Potter and the Prisoner of Azkaban,Buckbeak,Draco Malfoy,"Oh, yeah. Terribly funny. Really Witty. God, this place has gone to the dogs. Wait until Father hears Dumbledore's got this oaf teaching classes.",3,24
Harry Potter and the Prisoner of Azkaban,Buckbeak,Ron Weasley,You're supposed to stroke it.,3,5
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,Isn't he beautiful? Say hello to Buckbeak.,3,7
Harry Potter and the Prisoner of Azkaban,Buckbeak,Ron Weasley,"Hagrid, exactly what is that?",3,5
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,"That, Ron, is a hippogriff. First thing you wanna know about hippogriffs is that they're very proud creatures. Very easily offended. You do not want to insult a hippogriff. It may just be the last thing you ever do. Now, who'd like to come and say hello? Well done, Harry. Well done. Come on now. Now... you have to let him make the first move. It's only polite. So... step up. Give him a nice bow. Then you wait and see if he bows back. If he does, you can go and touch him. If not... Well, we'll get to that later. Just make your bow. Nice and low. Back off, Harry. Back off. Keep still. Keep still. Well done, Harry. Well done. Here, you big brute, you. Right. I think you can go and pat him now. Go on. Don't be shy. Nice and slow, now. Nice and slow. Slow. Not so fast, Harry. Slow down, Harry. That's it... Nice and slow. Now let him come to you. Slowly, now, slowly, slowly... That's it... Yes! Well done! Well done, Harry, well done! I think he may let you ride him now.",3,192
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,"Put you over here, just behind the wing joint. Don't pull out any of his feathers, because he won't thank you for that. Well done, Harry, and well done, Buckbeak.",3,30
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,"Well done, well done. How am I doing me first day?",3,11
Harry Potter and the Prisoner of Azkaban,Buckbeak,Draco Malfoy,"Yes you're not dangerous at all, are you, you great ugly brute!",3,12
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,"Malfoy, no... No! Buckbeak! Whoa, whoa, whoa... Whoa! Buckbeak! Away, you silly creature!",3,13
Harry Potter and the Prisoner of Azkaban,Buckbeak,Draco Malfoy,It's killed me! It's killed me!,3,6
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,Calm down! It's just a scratch!,3,6
Harry Potter and the Prisoner of Azkaban,Buckbeak,Hermione Granger,Hagrid! He has to be taken to the hospital.,3,9
Harry Potter and the Prisoner of Azkaban,Buckbeak,Rubeus Hagrid,I'm the teacher. I'll do it.,3,6
Harry Potter and the Prisoner of Azkaban,Buckbeak,Draco Malfoy,Oh You're gonna regret this.,3,5
Harry Potter and the Prisoner of Azkaban,Buckbeak,Draco Malfoy,You and your bloody chicken!,3,5
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Draco Malfoy,"It comes and it goes. Still, I consider myself lucky. Madam Pomfrey said another minute and I could've lost my arm. I couldn't do homework for weeks.",3,27
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Ron Weasley,"Listen to the idiot. He's really laying it on thick, isn't he?",3,12
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Harry Potter,At least Hagrid didn't get fired.,3,6
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Hermione Granger,Yeah but I heard Draco's father's furious. We haven't heard the end of this.,3,14
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Seamus Finnigan,He's been sighted! He's been sighted!,3,6
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Hermione Granger,Dufftown? That's not far from here.,3,6
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Seamus Finnigan,Dementors? He's already slipped past them once. Who's to say he won't do it again?,3,15
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"Intriguing, isn't it? Would anyone like to venture a guess... as to what is inside?",3,15
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"Very good, Mr. Thomas. Now, can anybody tell me what a boggart looks like?",3,14
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Ron Weasley,When did she get here?,3,5
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Hermione Granger,Boggarts are shape-shifters. They take the shape of whatever a particular person fears the most. That's what makes them so...,3,20
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"So terrifying, yes, yes, yes... Luckily, a very simple charm exists to repel a boggart. Let's practice it now. Without wands, please. After me. Riddikulus!",3,25
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,Very good. A little louder and very clear. Listen: Riddikulus!,3,10
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"Very good. So much for the easy part. You see, the incantation alone is not enough. What really finishes a boggart is laughter. You need to force it to assume a shape you find truly amusing. Let me explain. Uh... Neville, would you join me, please? Come on, don't be shy. Come on. Come on. Hello. Neville, what frightens you most of all?",3,63
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"Professor Snape. Yes, frightens all. And I believe you live with your grandmother.",3,13
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Neville Longbottom,"Y-Yes but I don't want that boggart to turn into her, either.",3,12
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"No... it won't. I want you to picture her clothes. Only her clothes, very clearly, in your mind.",3,18
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Neville Longbottom,She carries a red handbag...,3,5
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"We don't need to hear. As long as you see it, we'll see it. Now, when I open that wardrobe... here's what I want you to do. Excuse me. Imagine Professor Snape in your grandmother's clothes. Can you do that? Yes. Wand at the ready. One, two, three. Think, Neville, think.",3,51
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"Wonderful, Neville, wonderful! Incredible! Okay... to the back, Neville. Everyone, form a line! Form a line! I want everyone to picture the thing they fear the very most... and turn it into something funny. Next! Ron! Concentrate. Face your fear. Be brave! Wand at the ready, Ron, wand at the ready.",3,51
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"Yes! You see? Very good, very good! Marvelous! Absolutely, very, very enjoyable! Parvati! Next! Show us what you see. Keep your nerve. Steady.",3,23
Harry Potter and the Prisoner of Azkaban,Boggart in the Wardrobe,Remus Lupin,"And next! Step up, step up! Wonderful, wonderful! Here! Riddikulus! Right. Sorry about that. That's enough for today. Collect your books from the back. That's the end of the lesson. Thank you! Sorry! Sorry, you can have too much of a good thing.",3,43
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Minerva McGonagall,"Now remember, these visits to Hogsmeade village are a privilege. Should your behavior reflect poorly on the school in anyway that privilege shall not be extended again. No permission form signed, no visiting the village. That's the rule, Potter.",3,39
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Argus Filch,"Those with permission, follow me. Those without, stay put.",3,9
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Harry Potter,"But professor I thought if you signed it, then I could...",3,11
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Minerva McGonagall,"I can't. Only a parent or a guardian can sign. Since I am neither, it would be inappropriate. I'm sorry, Potter. That's my final word.",3,25
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Harry Potter,"Forget about it, guys. See you later.",3,7
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Harry Potter,"Professor, can I ask you something?",3,6
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Remus Lupin,"You want to know why I stopped you facing that boggart, yes? I would've thought it'd be obvious. I assumed it would take the shape of Lord Voldemort.",3,28
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Harry Potter,I did think of Voldemort at first. But then I remembered that night on the train... and the dementor.,3,19
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Remus Lupin,I'm very impressed. That suggests what you fear the most is fear itself. This is very wise.,3,17
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Harry Potter,Before I fainted... I heard something. A woman... screaming.,3,9
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Remus Lupin,Dementors force us to relive our very worst memories. Our pain becomes their power.,3,14
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Harry Potter,I think it was my mother... the night she was murdered.,3,11
Harry Potter and the Prisoner of Azkaban,Talent for Trouble,Remus Lupin,"The very first time I saw you, Harry, I recognized you immediately. Not by your scar, by your eyes. They're your mother, Lily's. Yes. Oh, yes. I knew her. Your mother was there for me at a time when no one else was. Not only was she a singularly gifted witch... she was also an uncommonly kind woman. She had a way of seeing the beauty in others... even, and perhaps most especially, when that person could not see it in themselves. And your father, James, on the other hand... he... He had a certain, shall we say, talent for trouble. A talent, rumor has it, he passed on to you. You're more like them than you know, Harry. In time, you'll come to see just how much.",3,128
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Ron Weasley,"Honeyduke's Sweetshop is brilliant, but nothing beats Zonko's Joke Shop. We never did got a chance to go to the Shrieking Shack though. You heard it's the most...",3,28
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Harry Potter,The most haunted building in Britain. Yeah I know. What's going on?,3,12
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Ron Weasley,Probably Neville forgotten the password again.,3,6
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Percy Weasley,"Let me through, please. Excuse me! I'm Head Boy! Get back, all of you. No one is to enter this dormitory until it's been searched.",3,25
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Ginny Weasley,The Fat Lady! She's gone!,3,5
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Ron Weasley,Serves her right. She was a terrible singer.,3,8
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Percy Weasley,"Keep calm, everyone. Break into fours. Back to your common room. Be quiet.",3,13
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Albus Dumbledore,Mr. Filch? Round up the ghosts. Tell them to search every painting in the castle to find the Fat Lady.,3,20
Harry Potter and the Prisoner of Azkaban,Flight of the Fat Lady,Argus Filch,"There's no need for ghosts, professor. The Fat Lady's there.",3,10
